,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,recent_px,intrinsic_value,option_px,extrinsic_value,yield
42,TQQQ210618C00051000,2021-05-28 13:30:07,51.0,52.04,59.3,59.55,0.0,0.0,54.0,104,3.707031982421875,True,REGULAR,USD,110.1709976196289,59.170997619628906,59.425,0.2540023803710909,0.0023055285497917276
43,TQQQ210618C00051500,2021-05-28 13:30:10,51.5,51.48,58.8,59.0,0.0,0.0,107.0,18,3.605469736328125,True,REGULAR,USD,110.1709976196289,58.670997619628906,58.9,0.22900238037109233,0.002078608575023846
44,TQQQ210618C00052000,2021-06-15 14:21:35,52.0,59.5,58.3,58.5,8.689999,17.10293,1.0,245,3.56250109375,True,REGULAR,USD,110.1709976196289,58.170997619628906,58.4,0.22900238037109233,0.002078608575023846
45,TQQQ210618C00052500,2021-06-14 19:54:50,52.5,59.35,57.8,58.05,0.0,0.0,1.0,169,3.5820322949218752,True,REGULAR,USD,110.1709976196289,57.670997619628906,57.925,0.2540023803710909,0.0023055285497917276
46,TQQQ210618C00053000,2021-05-11 16:50:40,53.0,38.1,52.9,53.85,0.0,0.0,3.0,108,1.0000000000000003e-05,True,REGULAR,USD,110.1709976196289,57.170997619628906,53.375,0.0,0.0
47,TQQQ210618C00053500,2021-06-04 16:54:23,53.5,50.29,56.8,57.05,0.0,0.0,10.0,51,3.50000125,True,REGULAR,USD,110.1709976196289,56.670997619628906,56.925,0.2540023803710909,0.0023055285497917276
48,TQQQ210618C00054000,2021-05-13 19:10:45,54.0,37.5,54.0,54.35,0.0,0.0,1.0,246,1.0000000000000003e-05,True,REGULAR,USD,110.1709976196289,56.170997619628906,54.175,0.0,0.0
49,TQQQ210618C00054500,2021-06-04 15:20:04,54.5,55.8,55.75,56.05,6.3999977,12.955461,25.0,244,3.3632828417968748,True,REGULAR,USD,110.1709976196289,55.670997619628906,55.9,0.22900238037109233,0.002078608575023846
50,TQQQ210618C00055000,2021-06-11 17:59:45,55.0,53.56,55.25,55.55,0.0,0.0,20.0,154,3.3242204394531245,True,REGULAR,USD,110.1709976196289,55.170997619628906,55.4,0.22900238037109233,0.002078608575023846
51,TQQQ210618C00057500,2021-06-08 19:49:19,57.5,52.9,52.75,53.05,0.0,0.0,1.0,250,3.13281466796875,True,REGULAR,USD,110.1709976196289,52.670997619628906,52.9,0.22900238037109233,0.002078608575023846
52,TQQQ210618C00060000,2021-06-15 16:02:38,60.0,50.86,50.3,50.5,0.45999908,0.91269654,105.0,1512,2.949221376953125,True,REGULAR,USD,110.1709976196289,50.170997619628906,50.4,0.22900238037109233,0.002078608575023846
53,TQQQ210618C00062500,2021-06-15 16:19:43,62.5,48.42,47.8,48.05,-0.030002594,-0.061924856,8.0,151,2.82031544921875,True,REGULAR,USD,110.1709976196289,47.670997619628906,47.925,0.2540023803710909,0.0023055285497917276
54,TQQQ210618C00065000,2021-06-15 17:01:53,65.0,45.3,45.3,45.55,-0.5,-1.091703,7.0,417,2.6445346386718755,True,REGULAR,USD,110.1709976196289,45.170997619628906,45.425,0.2540023803710909,0.0023055285497917276
55,TQQQ210618C00067500,2021-06-11 15:40:05,67.5,40.9,42.8,43.05,0.0,0.0,3.0,208,2.480472548828125,True,REGULAR,USD,110.1709976196289,42.670997619628906,42.925,0.2540023803710909,0.0023055285497917276
56,TQQQ210618C00070000,2021-06-15 17:18:46,70.0,40.16,40.25,40.5,-0.6899986,-1.6891032,3.0,681,2.2343794140624995,True,REGULAR,USD,110.1709976196289,40.170997619628906,40.375,0.20400238037109375,0.0018516886002559636
57,TQQQ210618C00070500,2021-05-14 13:58:18,70.5,24.8,37.65,39.15,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD,110.1709976196289,39.670997619628906,38.4,0.0,0.0
58,TQQQ210618C00071000,2021-05-19 15:04:26,71.0,20.75,39.3,39.5,0.0,0.0,1.0,112,2.214848212890624,True,REGULAR,USD,110.1709976196289,39.170997619628906,39.4,0.22900238037109233,0.002078608575023846
59,TQQQ210618C00071500,2021-06-02 14:13:03,71.5,30.55,38.8,39.05,0.0,0.0,1.0,32,2.2226606933593747,True,REGULAR,USD,110.1709976196289,38.670997619628906,38.925,0.2540023803710909,0.0023055285497917276
60,TQQQ210618C00072000,2021-06-07 18:57:21,72.0,32.2,38.3,38.55,0.0,0.0,10.0,93,2.193363891601562,True,REGULAR,USD,110.1709976196289,38.170997619628906,38.425,0.2540023803710909,0.0023055285497917276
61,TQQQ210618C00072500,2021-06-14 18:35:55,72.5,38.35,37.8,38.05,0.0,0.0,42.0,146,2.162113969726563,True,REGULAR,USD,110.1709976196289,37.670997619628906,37.925,0.2540023803710909,0.0023055285497917276
62,TQQQ210618C00073000,2021-06-04 16:03:33,73.0,30.82,37.35,37.55,0.0,0.0,2.0,50,2.1679733300781248,True,REGULAR,USD,110.1709976196289,37.170997619628906,37.45,0.2790023803710966,0.002532448524559674
63,TQQQ210618C00073500,2021-05-21 19:43:38,73.5,24.3,36.8,37.05,0.0,0.0,1.0,37,2.1015672460937496,True,REGULAR,USD,110.1709976196289,36.670997619628906,36.925,0.2540023803710909,0.0023055285497917276
64,TQQQ210618C00074000,2021-06-15 14:39:26,74.0,37.01,36.3,36.55,-1.2400017,-3.2418344,1.0,255,2.07031732421875,True,REGULAR,USD,110.1709976196289,36.170997619628906,36.425,0.2540023803710909,0.0023055285497917276
65,TQQQ210618C00074500,2021-06-10 18:33:24,74.5,33.65,35.8,36.05,0.0,0.0,1.0,32,2.03906740234375,True,REGULAR,USD,110.1709976196289,35.670997619628906,35.925,0.2540023803710909,0.0023055285497917276
66,TQQQ210618C00075000,2021-06-14 19:54:50,75.0,36.4,35.3,35.55,-0.5,-1.3550135,2.0,796,2.0117237207031247,True,REGULAR,USD,110.1709976196289,35.170997619628906,35.425,0.2540023803710909,0.0023055285497917276
67,TQQQ210618C00075500,2021-06-10 18:35:53,75.5,32.7,34.8,35.05,0.0,0.0,5.0,62,1.9804688476562502,True,REGULAR,USD,110.1709976196289,34.670997619628906,34.925,0.2540023803710909,0.0023055285497917276
68,TQQQ210618C00076000,2021-06-15 14:48:15,76.0,35.1,34.3,34.55,-0.80000305,-2.2284205,2.0,104,1.951172119140625,True,REGULAR,USD,110.1709976196289,34.170997619628906,34.425,0.2540023803710909,0.0023055285497917276
69,TQQQ210618C00076500,2021-05-19 19:54:50,76.5,18.3,33.8,34.0,0.0,0.0,9.0,56,1.88671931640625,True,REGULAR,USD,110.1709976196289,33.670997619628906,33.9,0.22900238037109233,0.002078608575023846
70,TQQQ210618C00077000,2021-05-28 18:09:25,77.0,26.49,33.3,33.5,0.0,0.0,5.0,33,1.857422587890625,True,REGULAR,USD,110.1709976196289,33.170997619628906,33.4,0.22900238037109233,0.002078608575023846
71,TQQQ210618C00077500,2021-06-14 17:29:56,77.5,33.05,32.8,33.0,0.0,0.0,2.0,398,1.8281258593749998,True,REGULAR,USD,110.1709976196289,32.670997619628906,32.9,0.22900238037109233,0.002078608575023846
72,TQQQ210618C00078000,2021-06-10 18:27:49,78.0,33.0,32.3,32.5,0.0,0.0,1.0,161,1.8007822460937497,True,REGULAR,USD,110.1709976196289,32.170997619628906,32.4,0.22900238037109233,0.002078608575023846
73,TQQQ210618C00078500,2021-06-14 19:54:50,78.5,33.35,31.8,32.05,0.0,0.0,3.0,118,1.8046884765624998,True,REGULAR,USD,110.1709976196289,31.670997619628906,31.924999999999997,0.2540023803710909,0.0023055285497917276
