,strike,delta_calc,yield,converted_expiration,weekly_yield,jjj
42,157.5,1.0,0.0,2021-12-03,0.0,0.0
43,158.0,1.0,0.0,2021-12-03,0.0,0.0
44,159.0,1.0,0.0,2021-12-03,0.0,0.0
45,160.0,1.0,0.0,2021-12-03,0.0,0.0
46,161.0,1.0,0.0,2021-12-03,0.0,0.0
47,162.0,1.0,0.0,2021-12-03,0.0,0.0
48,162.5,1.0,0.0,2021-12-03,0.0,0.0
49,163.0,1.0,0.0,2021-12-03,0.0,0.0
50,164.0,1.347885435574208e-24,0.0,2021-12-03,0.0,0.0
51,165.0,5.978770267535613e-08,0.0,2021-12-03,0.0,0.0
52,166.0,4.964407601859694e-16,0.0,2021-12-03,0.0,0.0
53,167.0,3.900822828102338e-08,0.0,2021-12-03,0.0,0.0
54,167.5,7.332254679680937e-10,0.0,2021-12-03,0.0,0.0
55,168.0,8.940910150866308e-12,0.0,2021-12-03,0.0,0.0
56,169.0,2.7945387667351187e-05,0.0,2021-12-03,0.0,0.0
57,170.0,1.3203688282327637e-06,0.0,2021-12-03,0.0,0.0
58,171.0,4.150352767918487e-08,0.0,2021-12-03,0.0,0.0
59,172.0,8.714701442415185e-10,0.0,2021-12-03,0.0,0.0
60,172.5,1.0871150848597166e-10,0.0,2021-12-03,0.0,0.0
61,173.0,1.2282848124269518e-11,0.0,2021-12-03,0.0,0.0
62,174.0,1.1682342067745177e-13,0.0,2021-12-03,0.0,0.0
63,175.0,7.54006081005974e-16,0.0,2021-12-03,0.0,0.0
64,176.0,8.387352491549107e-06,0.0,2021-12-03,0.0,0.0
65,177.0,1.8776441486315527e-06,0.0,2021-12-03,0.0,0.0
66,177.5,8.589730673662148e-07,0.0,2021-12-03,0.0,0.0
67,178.0,3.8430593477186486e-07,0.0,2021-12-03,0.0,0.0
68,179.0,7.199832466208756e-08,0.0,2021-12-03,0.0,0.0
69,180.0,1.2361468890318142e-08,0.0,2021-12-03,0.0,0.0
70,181.0,1.9473809150361275e-09,0.0,2021-12-03,0.0,0.0
71,182.0,2.81839355241693e-10,0.0,2021-12-03,0.0,0.0
72,182.5,1.0390449541381185e-10,0.0,2021-12-03,0.0,0.0
73,183.0,3.751993012278912e-11,0.0,2021-12-03,0.0,0.0
74,184.0,4.600155001190262e-12,0.0,2021-12-03,0.0,0.0
75,185.0,5.200824094602284e-13,0.0,2021-12-03,0.0,0.0
76,186.0,5.4287225729730166e-14,0.0,2021-12-03,0.0,0.0
77,187.0,5.2381946007744855e-15,0.0,2021-12-03,0.0,0.0
78,188.0,4.677912588353994e-16,0.0,2021-12-03,0.0,0.0
79,189.0,3.871075489146032e-17,0.0,2021-12-03,0.0,0.0
80,190.0,8.400732349335598e-06,0.0,2021-12-03,0.0,0.0
81,195.0,2.348052796111092e-07,0.0,2021-12-03,0.0,0.0
82,200.0,4.347017161317918e-09,0.0,2021-12-03,0.0,0.0
83,205.0,5.489225687263457e-11,0.0,2021-12-03,0.0,0.0
84,210.0,4.860537195890818e-13,0.0,2021-12-03,0.0,0.0
85,215.0,3.0969381301163847e-15,0.0,2021-12-03,0.0,0.0
86,220.0,1.4543836745153502e-17,0.0,2021-12-03,0.0,0.0
87,230.0,1.4013858803842832e-22,0.0,2021-12-03,0.0,0.0
88,240.0,5.095129670772547e-28,0.0,2021-12-03,0.0,0.0
89,245.0,7.038160600195461e-31,0.0,2021-12-03,0.0,0.0
90,250.0,8.004123729656096e-34,0.0,2021-12-03,0.0,0.0
91,255.0,7.599126893978603e-37,0.0,2021-12-03,0.0,0.0
92,85.0,1.0,0.0,2021-12-10,0.0,0.0
93,100.0,1.0,0.0,2021-12-10,0.0,0.0
94,110.0,1.0,0.0,2021-12-10,0.0,0.0
95,115.0,1.0,0.0,2021-12-10,0.0,0.0
96,120.0,1.0,0.0,2021-12-10,0.0,0.0
97,125.0,1.0,0.0,2021-12-10,0.0,0.0
